Time,Favorites,Retweets,Compound,Negative,Positive,Neutral,Open,High,Low,Close,Volume,Funding Rate 0000,Funding Rate 0800,Funding Rate 1600,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions
20220109.0,2420.050132275132,347.9093915343915,0.3216495855379189,0.03469012345679012,0.1588467372134039,0.8064850970017637,41680.7,42791.3,41214.9,41877.6,320295181.7,0.01,0.01,0.01,12.96,31.6,734904.0,568134.0,210143.0
20220108.0,78.5,6.0,0.0501,0.023,0.0275,0.9495,41561.5,42319.7,40501.0,41680.5,405771071.4,0.01,0.01,0.01,19.1,35.35,823193.0,591014.0,223920.0
20220107.0,3159.6666666666665,346.0,0.416,0.028999999999999998,0.17333333333333334,0.7976666666666666,43086.1,43149.3,40600.0,41561.4,564380542.4,0.01,0.01,0.01,22.17,36.61,961733.0,667941.0,255381.0
20220106.0,737.75,91.25,0.53635,0.0,0.2275,0.7725,43456.2,43817.3,42420.0,43086.1,422214413.2,0.01,0.01,0.01,22.51,41.03,937879.0,690161.0,264899.0
20220105.0,2071.0,319.1666666666667,0.17048333333333332,0.05416666666666666,0.11216666666666668,0.8336666666666667,45833.0,47052.4,42500.0,43456.8,642545805.9,0.01,0.01,0.01,15.01,35.35,1023484.0,698013.0,272155.0
20220104.0,2420.050132275132,347.9093915343915,0.3216495855379189,0.03469012345679012,0.1588467372134039,0.8064850970017637,46443.4,47529.0,45555.0,45833.0,391342323.4,0.01,0.01,0.01,13.64,33.46,971141.0,680570.0,274544.0
20220103.0,904.5,113.5,0.36845000000000006,0.0,0.14,0.8600000000000001,47291.7,47577.0,45700.0,46443.4,326687252.8,0.01,0.01,0.01,13.98,34.09,948843.0,630932.0,234793.0
20220102.0,2420.050132275132,347.9093915343915,0.3216495855379189,0.03469012345679012,0.1588467372134039,0.8064850970017637,47728.6,47990.0,46656.1,47291.8,230185198.6,0.01,0.01,0.01,12.96,33.46,734444.0,534857.0,196865.0
20220101.0,62.0,6.0,-0.8934,0.292,0.051,0.657,46216.4,47936.7,46210.4,47728.6,244429577.2,0.01,0.01,0.01,10.6,25.88,695722.0,512154.0,186834.0
20211231.0,1218.0,187.5,0.4983,0.0,0.1315,0.8685,47122.5,48563.6,45668.7,46216.4,421424853.8,0.01,0.0,0.01,11.16,23.68,1093396.0,703405.0,269540.0
20211230.0,1277.0,153.0,0.37299999999999994,0.0,0.12566666666666668,0.8743333333333334,46466.4,47906.9,45932.2,47122.4,355274219.9,0.01,0.01,0.01,12.0,28.09,977727.0,679386.0,245021.0
20211229.0,63.5,19.0,0.34505,0.0,0.1155,0.8845000000000001,47543.8,48139.5,46039.5,46466.4,385992871.4,0.01,0.01,0.01,12.0,28.09,1142870.0,741024.0,276083.0
20211228.0,1326.5,190.5,0.40455,0.0,0.104,0.896,50715.6,50715.6,47289.6,47543.8,549598324.4,0.01,0.01,0.01,12.28,31.39,1051572.0,729388.0,265422.0
20211227.0,2707.5,460.0,0.3689,0.0,0.0965,0.9035,50771.5,52072.2,50446.5,50715.7,338802264.2,0.01,0.01,0.01,11.72,30.29,992531.0,674082.0,249548.0
20211226.0,3483.0,537.0,-0.5423,0.153,0.092,0.754,50405.9,51279.7,49449.8,50771.5,296678249.0,0.01,0.01,0.01,11.16,29.74,774902.0,574433.0,198574.0
20211225.0,1522.6833333333332,230.6811287477954,0.29494732804232804,0.02447222222222222,0.12017583774250441,0.8553303350970018,50811.0,51139.9,50180.0,50405.9,237352986.8,0.01,0.01,0.01,12.43,33.68,866151.0,580922.0,207803.0
20211224.0,51.0,10.0,0.7739,0.0,0.2,0.8,50836.6,51821.0,50401.5,50806.2,362202620.3,0.0,0.01,0.01,13.64,33.68,974212.0,678663.0,260565.0
20211223.0,175.0,37.0,0.34505,0.0,0.099,0.901,48582.2,51369.3,48011.5,50836.6,457414041.4,0.01,0.01,0.01,13.04,32.39,991240.0,744101.0,291799.0
20211222.0,44.0,10.0,0.6166,0.0,0.119,0.881,48891.5,49564.0,48421.1,48582.3,389366494.2,0.01,0.01,0.01,13.04,31.74,992589.0,719298.0,288495.0
20211221.0,3053.5,505.0,0.19324999999999998,0.1155,0.1025,0.782,46898.1,49322.0,46655.6,48891.4,357318509.0,0.01,0.01,0.01,13.34,29.15,1009227.0,747663.0,304713.0
20211220.0,1626.6,264.2,-0.05556,0.069,0.0268,0.9042,46678.5,47525.7,45562.7,46898.1,452867076.1,0.01,0.01,0.01,13.34,29.15,1015255.0,678671.0,266947.0
20211219.0,3867.0,614.0,0.4215,0.0,0.167,0.833,46825.3,48280.0,46410.0,46678.5,367966986.6,0.01,0.01,0.01,11.52,28.5,755797.0,557914.0,206719.0
