Time,Compound,Close,Volume,FundingRate,Bitcoin_SVI,Cryptocurrency_SVI,No. of Active Addresses,No. of Unique Addresses,Transactions,Close_mean,Close_std
2021-05-02 00:00:00,0.4171710185185186,56568.5,199206958.1,0.03333333333333333,15.84,51.42,1248724,587240.0,235214.0,56350.13333333334,2418.2024198421923
2021-05-03 00:00:00,0.8187,57159.7,276554749.5,0.043333333333333335,17.74,59.76,1268856,746177.0,287007.0,57353.5,681.5720358092619
2021-05-04 00:00:00,0.7269,53196.3,390469293.4,0.043333333333333335,17.74,72.27,1293836,772207.0,300824.0,57174.299999999996,613.2303645427215
2021-05-05 00:00:00,0.37645,57431.5,344232265.4,0.05000000000000001,17.74,83.39,1208973,808208.0,309774.0,55641.5,2138.137423085184
2021-05-06 00:00:00,-0.0516,56397.6,365133897.8,0.05000000000000001,17.11,84.78,1228892,843433.0,311380.0,55929.166666666664,2370.6305012233865
2021-05-07 00:00:00,0.4171710185185186,57307.3,372658922.0,0.06,16.47,80.61,1187763,804452.0,307988.0,55675.13333333333,2208.098350013124
2021-05-08 00:00:00,0.5983,58863.1,343485003.6,0.043333333333333335,16.47,93.12,1169650,744143.0,274691.0,57045.466666666674,564.4951933635228
2021-05-09 00:00:00,0.4171710185185186,58250.2,337488136.0,0.04666666666666667,21.24,61.96,1234486,690253.0,247866.0,57522.666666666664,1246.7797172437677
2021-05-10 00:00:00,0.7269,55813.2,466857350.5,0.06,22.03,61.96,1315147,824736.0,303297.0,58140.200000000004,783.7113052629938
2021-05-11 00:00:00,0.4171710185185186,56678.3,382931091.5,0.06333333333333334,21.24,60.19,1258920,854634.0,312115.0,57642.166666666664,1613.3043430581934
2021-05-12 00:00:00,0.4171710185185186,49661.9,522673294.3,0.02666666666666667,22.03,57.53,1245595,852846.0,300452.0,56913.9,1235.4645968206405
2021-05-13 00:00:00,0.4171710185185186,49675.4,497271871.0,0.02,53.49,62.84,1187747,806882.0,276472.0,54051.13333333334,3825.7190753283144
2021-05-14 00:00:00,0.07153333333333332,49848.5,273449532.7,0.03333333333333333,33.04,52.22,1066269,752353.0,266055.0,52005.200000000004,4047.028943558215
2021-05-15 00:00:00,0.40982,46775.4,379327493.4,0.013333333333333334,25.96,51.34,953308,646899.0,232099.0,49728.600000000006,104.05561012401063
2021-05-16 00:00:00,0.4171710185185186,46427.4,442072367.4,0.02666666666666667,36.0,57.0,971649,604353.0,219435.0,48766.43333333334,1726.4562558407836
2021-05-17 00:00:00,0.4171710185185186,43538.7,516079876.2,0.03666666666666666,53.0,53.0,962984,684281.0,250910.0,47683.76666666667,1882.771574921386
2021-05-18 00:00:00,0.558925,42847.8,419737500.8,0.04,40.0,50.0,856695,619246.0,221018.0,45580.5,1776.7910484913434
2021-05-19 00:00:00,0.4171710185185186,36664.7,836064780.5,0.023333333333333334,100.0,100.0,1031147,734818.0,263419.0,44271.30000000001,1898.923671451584
2021-05-20 00:00:00,0.3715,40530.5,508622726.6,-0.02333333333333333,79.0,61.0,943686,694786.0,228039.0,41017.06666666667,3785.057120220647
2021-05-21 00:00:00,0.0,37257.0,509140291.3,0.006666666666666667,60.0,51.0,942736,695822.0,226351.0,40014.333333333336,3123.7001173821373
2021-05-22 00:00:00,0.0,37453.8,380977242.3,0.0,51.0,47.0,918673,603588.0,223800.0,38150.73333333334,2082.107553257855
2021-05-23 00:00:00,0.38155,34676.9,500827223.2,0.0,25.2,38.41,957018,555526.0,194320.0,38413.76666666667,1835.7839097599071
2021-05-24 00:00:00,0.4757,38809.9,386404645.8,-0.006666666666666667,23.13,29.8,975836,643231.0,234755.0,36462.56666666667,1549.560145116544
2021-05-25 00:00:00,0.6249,38320.9,361761310.1,0.006666666666666667,18.59,27.15,968674,640506.0,233644.0,36980.200000000004,2106.809191645084
2021-05-26 00:00:00,0.7835,39241.4,361841801.0,0.01,16.11,25.83,933622,641585.0,230753.0,37269.23333333334,2258.301205183558
