Time,Open,Close,High,Low,Amount,Volume
2021-11-30,57777.4,56928.1,59200,55877.1,8159.206766,468364796.4
2021-11-29,57275.5,57777.4,58882.3,56664.5,7082.709914,408336675
2021-11-28,54713.6,57275.5,57443.9,53235.6,6760.098761,371130261
2021-11-27,53720.3,54714.7,55288,53600,5249.00162,286730318.6
2021-11-26,58956.3,53723.3,59154.9,53500,11686.73702,646552307.4
2021-11-25,57136.9,58952.4,59400,57000,7071.339103,412301934.9
2021-11-24,57540.2,57136.9,57722.3,55868,8073.101807,457719367.2
2021-11-23,56245,57540.2,57858.9,55320,8213.719339,467100249.3
2021-11-22,58595.6,56245.1,59497.9,55630,10321.5093,591121412
2021-11-21,59707.4,58595.3,60039,58500.1,5219.278709,308717788.9
2021-11-20,58049.2,59707.4,59850,57355,5298.841255,310644998.4
2021-11-19,56877.8,58048.5,58331,55600,7300.180269,417030063.7
2021-11-18,60345,56877.7,60951.2,56473.3,10628.04419,622911867.5
2021-11-17,60060.8,60345,60822.7,58358.6,8818.936494,527388313.7
2021-11-16,63610.4,60060.8,63613.5,58557.5,12811.67529,778068482.2
2021-11-15,65505.1,63611.8,66361,63368,5905.164641,383210071.3
2021-11-14,64370.6,65505.2,65511.1,63569.8,4154.610415,267874693.4
2021-11-13,64134.1,64370.6,64963.5,63369.3,3122.414772,200216587.9
2021-11-12,64770.9,64134.1,65472.7,62263.9,7482.048933,478645588
2021-11-11,64892.2,64769.2,65589.9,64109.1,5477.973921,355460152.1
2021-11-10,66943,64892.2,69028,62540,9142.522169,608460351.2
2021-11-09,67509.4,66941.7,68500.1,66171.6,6584.72224,444215755
2021-11-08,63267.9,67509.5,67795.7,63267.9,8888.362468,583849967.4
2021-11-07,61467.1,63264.8,63277.2,61326.7,4848.404623,301402150.1
2021-11-06,60947.7,61467.1,61555,60050,4279.710517,260493501.9
2021-11-05,61401.9,60947.9,62604,60730,5158.71454,317153935.3
2021-11-04,62893.9,61401.9,63086.9,60700,6264.95294,386571709
2021-11-03,63221.9,62894,63506.8,60400,7189.072925,450449274.4
2021-11-02,60898,63221.9,64281.4,60635,7904.421631,495641463.2
2021-11-01,61293.9,60897.5,62440.6,59381.2,7994.876424,489592233.2
2021-10-31,61855.9,61293.6,62397,59964,6690.53246,408215639.5
2021-10-30,62253.2,61855.9,62368,60644,4843.740014,298289856.7
2021-10-29,60590.7,62253.3,62961.9,60193,7686.969403,472894245.6
2021-10-28,58408.2,60590.7,62509,57820,11497.51162,692607986.7
2021-10-27,60330.2,58408.2,61488.2,57963,10951.76216,649228950.5
2021-10-26,63082.9,60329.6,63287.1,59850,7083.216859,439034713.6
2021-10-25,60853.9,63082.8,63710.7,60658.1,6855.902699,429536055
2021-10-24,61296.2,60854,61487.6,59517.2,6347.262037,384294281.8
2021-10-23,60698.6,61296.2,61748,59611,5726.740358,349728982.8
2021-10-22,62210,60699,63734.9,60011,7920.708185,491055331.9
2021-10-21,66007.2,62210.1,66663.4,62015.3,13446.64233,863866244.7
2021-10-20,64285.4,66007.2,66985.9,63500,9866.21035,644294797.4
2021-10-19,62027.7,64285.4,64472.4,61324.6,11177.27317,702243691.5
2021-10-18,61526.2,62027.8,62694,59868.3,10122.65529,624039708.7
2021-10-17,60878.5,61526.2,61701,58977,6360.185936,385518488.3
2021-10-16,61673.4,60878.4,62358,60154.4,6574.033238,402479983.2
2021-10-15,57344.8,61673.9,62947.4,56861.8,14303.10109,860666768.9
2021-10-14,57367.2,57344.9,58529.9,56795,8171.999287,471000802.4
2021-10-13,56001.1,57367.2,57764.4,54222.5,8390.886507,470511860.3
2021-10-12,57471.9,56004.5,57670,53889,9377.4487,529269410.6
2021-10-11,54663.6,57471.9,57840,54414.4,8509.496785,482625180.7
2021-10-10,54948.5,54663.6,56505.5,54095,7530.77618,415682780.3
2021-10-09,53949.7,54947.7,55500,53650,5550.556279,303944142.6
2021-10-08,53778.6,53949.7,56138.6,53613,7651.650823,417615286.1
2021-10-07,55314.7,53778.6,55329.4,53376.8,10752.37305,583950349
2021-10-06,51462.3,55314.7,55770.5,50386.1,11486.42891,609030484.6
2021-10-05,49223.7,51462.3,51887,49034.7,8635.525764,433273705.8
2021-10-04,48204.2,49223.7,49500,46909,10547.59204,509138223.2
2021-10-03,47631.6,48204.2,49219.4,47099.9,6402.402499,308151904.9
2021-10-02,48148.8,47631.6,48333,47436.1,4410.762606,211051611.6
2021-10-01,43819.1,48144.5,48466.6,43293.6,7803.055711,363416598.9
2021-09-30,41529.8,43817.2,44123,41413,5523.728414,238839823.9
2021-09-29,41018.9,41536.9,42593,40752.1,4430.321966,184926857.3
2021-09-28,42137.1,41018.9,42762.2,40875,4930.35078,206345988.1
2021-09-27,43170.6,42137,44357.1,42090.6,4664.189722,202917520.4
2021-09-26,42676.5,43170.6,43930,40751,5337.890838,227257670.8
2021-09-25,42803.8,42676.6,42969.9,41631.2,4355.13842,185182671.4
2021-09-24,44865.6,42803.9,45144.1,40683,9621.770827,410919062.9
2021-09-23,43550.7,44865.7,44978.2,43064.1,5371.734226,236772551.6
2021-09-22,40730.3,43556.4,44000,40568,6328.615603,269585374
2021-09-21,43010.4,40730.4,43648,39571,10034.90922,421193931.2
2021-09-20,47242.4,43018.6,47353.6,42470.5,10832.50207,481199344.8
2021-09-19,48294,47242.5,48366.5,46816.2,3934.780156,187339847.2
2021-09-18,47300.3,48294,48800,47030,3567.691069,172058748.1
2021-09-17,47738.6,47300.3,48139.1,46750.6,4304.233305,204334748.2
2021-09-16,48124.3,47738.6,48520,47012.4,4513.312612,215858424.1
2021-09-15,47108.1,48124.3,48444.2,46693,4581.98096,218201912.8
2021-09-14,44938.3,47108.8,47245.4,44645,4812.628568,222264878.2
2021-09-13,46025.5,44938.3,46852.2,43375,7349.330682,329259917
2021-09-12,45170.5,46025.5,46443,44738.1,4130.893189,188488416.8
2021-09-11,44850.4,45170.5,45984,44728,4077.014139,184897662.1
2021-09-10,46393,44850.3,47032,44119.1,6238.147501,285236810.2
2021-09-09,46047.6,46393.1,47392,45488.6,5773.342748,267985685.5
2021-09-08,46864,46048.1,47338.5,44408,7277.527296,335884186.5
2021-09-07,52667.2,46861.7,52920,42478.9,12542.16788,611376305.1
2021-09-06,51768,52667.2,52827.3,50969.3,4595.473081,237997715.3
2021-09-05,49902.8,51768,51885.2,49460.9,3909.508091,197799196.4
2021-09-04,50010.9,49902.6,50548.5,49368,3290.900164,164611825.1
2021-09-03,49248.8,50011,51027,48322.5,5689.384776,284012587.5
2021-09-02,48815.3,49248.9,50380.8,48595,5074.70177,252058688.2
2021-09-01,47095.5,48815.3,49125,46503.8,4693.049927,224376539.3
2021-08-31,46981,47095.5,48248.9,46688.9,4456.804698,210838523.3
2021-08-30,48763.2,46981,48869.4,46833.1,5164.107919,247649040.1
2021-08-29,48892,48763.2,49634.8,47750,3663.594026,178385922.9
2021-08-28,49053.7,48890,49286,48350,3254.339804,159023327.2
2021-08-27,46829.4,49054.1,49164,46344.1,4508.673348,215034437.6
2021-08-26,48983.3,46829.5,49342.3,46275,5422.089859,256433924.3
2021-08-25,47662.5,48983.2,49250,47130,4955.549619,238867868
2021-08-24,49481.7,47662.5,49897.1,47567,5769.064091,281234168.4
2021-08-23,49232.9,49478.2,50531.2,49002.8,7078.669827,352804744.5
2021-08-22,48821.3,49237.4,49490,48034,5705.201105,278508768.6
2021-08-21,49319.9,48821.3,49776.4,48195.9,6635.986264,325201390.7
2021-08-20,46765.6,49319.4,49400.4,46632.5,7915.835064,379218742.1
2021-08-19,44708.3,46765.7,47049.2,43925.6,7253.815982,329313825.6
2021-08-18,44684.4,44708.3,46015.3,44206.8,9385.036469,423494019.1
2021-08-17,45887,44684.3,47172.9,44390.7,10153.62758,465759379.1
2021-08-16,46980.5,45887,48045,45627.7,8152.339722,382127783.3
2021-08-15,47071.4,46980.4,47377.6,45486.7,7538.966557,349642973.4
2021-08-14,47807.7,47071.4,48151.3,45969.2,6501.924787,305557435.9
2021-08-13,44411.3,47807.7,47891,44222.3,8178.02535,378273659.2
2021-08-12,45520.4,44415.2,46209,43750,9021.964489,404820768
2021-08-11,45581.5,45520.8,46740,45337.8,7611.359849,350803776.9
2021-08-10,46263.7,45581.3,46707.6,44632,6603.16986,300838105
2021-08-09,43792.5,46269,46457,42780,7845.113115,353748144.7
2021-08-08,44574.9,43792.8,45317.9,43265.5,8345.600506,369925437.3
2021-08-07,42839.5,44574.4,44707.3,42411,8389.714564,365418851.2
2021-08-06,40864.5,42839.6,43376.7,39856.1,8605.004304,357276690.5
2021-08-05,39725.3,40864.4,41350,37304.2,10942.48821,429871959.3
2021-08-04,38201.6,39719.8,39959.4,37500,8111.312857,314458638.2
2021-08-03,39147.8,38201.7,39774,37653.6,9288.502751,356802445
2021-08-02,39852.1,39147.8,40468.6,38689,7179.100658,283806454.7
2021-08-01,41464,39852.1,42581.7,39390.1,6814.363794,281739326.8
2021-07-31,42202.9,41464,42423.4,41026.4,5900.907235,245815752.1
2021-07-30,40022.4,42217.2,42308.9,38320,7634.614833,305134414.3
2021-07-29,40016.1,40022.4,40648.9,39255,7328.625696,292111567.1
2021-07-28,39465.6,40015.5,40893,38746.8,10022.39274,399785544.5
2021-07-27,37242,39465.5,39554,36345,5662.53373,214670342.3
2021-07-26,35385.1,37242.9,40569.7,35208,14005.47588,537795117.3
2021-07-25,34256.7,35388.4,35400,33848.3,4124.182967,141970016.8
2021-07-24,33634.7,34256.7,34494.6,33399.9,3775.28197,127958831.1
2021-07-23,32289.8,33634.7,33640,31964,3248.74037,105752206.3
2021-07-22,32144.1,32289.7,32600,31717,3146.424715,101199710.7
2021-07-21,29783.6,32144,32844.8,29481.8,6911.488007,217802130.2
2021-07-20,30833.4,29782.5,31056.4,29272,5621.45293,167764490.4
2021-07-19,31778.2,30833.3,31893,30400,3335.894952,103744972.3
2021-07-18,31520.2,31778.1,32447,31112,3325.382595,105548271.8
2021-07-17,31383.4,31520.2,31950.9,31173.6,2846.31357,89815389.13
2021-07-16,31877.8,31389.1,32246.9,31026,3316.323145,105188036.5
2021-07-15,32819.3,31868.5,33184,31150,4180.086321,133583939.9
2021-07-14,32725.2,32819.3,33170,31575.4,4379.423057,141937548.6
2021-07-13,33089,32725.2,33341,32195,3605.482005,118153057.6
2021-07-12,34263.5,33089.4,34702.9,32630.4,4117.5354,138177733.4
2021-07-11,33510,34263.5,34611.3,33318.5,2880.663037,97552330.49
2021-07-10,33815.5,33510,34260.9,33037,3252.010123,109503559.5
2021-07-09,32872.8,33816.4,34100,32265,3393.738638,112577830.2
2021-07-08,33862.7,32875.7,33922.7,32085.5,4430.459087,145653465.5
2021-07-07,34227.1,33862.8,35057.3,33777.2,3811.987364,131551764
2021-07-06,33683.7,34228.5,35100,33510,4425.080523,151140327.8
2021-07-05,35279.8,33683.7,35283.7,33130.7,4075.254582,138884272.9
2021-07-04,34675.2,35273.7,35966.8,34349.9,2936.646204,103698865.6
2021-07-03,33791.5,34675.2,34942.6,33324,3265.356476,112243766.7
2021-07-02,33500,33791.4,33988.2,32700.8,4815.317963,160305767.2
2021-07-01,35045.4,33500.1,35056.5,32711,5862.197336,197113094.5
2021-06-30,35906.6,35045.4,36099.6,34022.7,5743.848897,200265522
2021-06-29,34490.8,35908.9,36595.2,34234.4,6179.982924,220229621.6
2021-06-28,34703.8,34490.7,35291.5,33857.4,6438.368545,222031983.5
2021-06-27,32283.7,34704.4,34752.4,32001.2,6201.738354,205535768.1
2021-06-26,31588.1,32283.7,32720.9,30153,8232.106197,257996506.2
2021-06-25,34658,31588.1,35499.9,31276.1,8644.095149,286526052.1
2021-06-24,33676.1,34657.9,35301.4,32306.2,6292.051335,213058141.8
2021-06-23,32505,33675,34839.8,31709,9779.352091,329515574.3
2021-06-22,31614,32505.1,33290.2,28801.8,14492.17413,456701075.8
2021-06-21,35603.2,31614.1,35742.5,31251.6,13620.64859,447895035.2
2021-06-20,35479.6,35600.5,36191.3,33335,7100.377553,247106949.7
2021-06-19,35822.9,35478.5,36492.7,34811,5600.905533,200080223.6
2021-06-18,38094.7,35823,38194.5,35117.3,7211.361512,265798131.1
2021-06-17,38356,38091.2,39571.9,37366.3,7793.903056,300356565.4
2021-06-16,40154.6,38347.2,40496.1,38105.2,7972.123259,313057464
2021-06-15,40543.1,40156.7,41355.3,39525,7466.725247,300509566.4
2021-06-14,39015.3,40543,41029,38737.2,9828.014398,390847958.3
2021-06-13,35553.3,39018.7,39375,34761.7,7947.765378,291833418.8
2021-06-12,37332.6,35573.4,37453.7,34625.5,6153.430286,219888857.2
2021-06-11,36673,37337.6,37680.4,35926.2,5668.356269,209651638.4
2021-06-10,37386.3,36673,38451.5,35800,7953.004961,294611922.5
2021-06-09,33379.8,37377,37534.7,32393.9,9786.863444,343432220.2
2021-06-08,33560,33379.8,34061.3,31000,10968.25291,358886482.9
2021-06-07,35798,33560,36800,33301.3,6693.226785,238469255.1
2021-06-06,35514.6,35798.1,36465.9,35230.4,5183.520493,186157287
2021-06-05,36829.3,35514.6,37962.4,34800,7313.702293,265851704.3
2021-06-04,39249.9,36829.3,39285.7,35555.8,8194.775345,303419310
2021-06-03,37589,39249.9,39474.5,37176.2,5991.138107,230828970.6
2021-06-02,36694.6,37589,38230.7,35926.8,6046.543408,225880526.9
