Favorites,Retweets,Compound,Bitcoin_SVI,Volume,Funding Rate 1600,No. of Unique Addresses,Time,Transactions,Funding Rate 0800,No. of Active Addresses,Funding Rate 0000,Close,Cryptocurrency_SVI
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.8632976141975703,25752216.89,0.01,556912.0,20200530.0,286046.0,0.01,902498.0,0.0,9696.1,4.25
-0.518297014648295,-0.44744620880595665,-1.2338271493812385,-0.7833403119125145,23070281.26,0.01,495162.0,20200531.0,258427.0,0.01,801889.0,0.01,9450.0,4.34
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7653499188983769,36781394.78,0.0,623944.0,20200601.0,308312.0,0.01,870833.0,0.01,10201.0,4.16
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.4954940236863135,45687197.01,0.08,638403.0,20200602.0,304114.0,0.03,899961.0,0.0,9518.3,4.61
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.6753979538276892,17571165.62,0.01,646746.0,20200603.0,314000.0,0.01,950153.0,0.01,9667.5,4.07
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7293691328701019,22429713.75,0.01,628388.0,20200604.0,318285.0,0.01,884109.0,0.01,9790.2,4.43
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7473595258842394,22769910.31,0.01,643217.0,20200605.0,327082.0,0.01,918647.0,0.01,9622.4,3.98
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8553018839690646,13596973.33,0.01,548424.0,20200606.0,284873.0,0.01,771819.0,0.01,9668.6,4.07
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8193210979407896,27303228.34,0.01,487527.0,20200607.0,252368.0,0.01,690992.0,0.01,9745.1,4.34
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7653499188983769,13035500.49,0.01,625333.0,20200608.0,317275.0,0.01,986341.0,0.01,9775.8,4.25
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7653499188983769,27123625.31,0.01,644690.0,20200609.0,327074.0,0.01,910121.0,0.01,9772.4,4.43
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7653499188983769,22550205.08,0.01,645485.0,20200610.0,325163.0,0.01,909669.0,0.01,9881.9,4.34
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7113787398559642,46587698.24,0.01,673800.0,20200611.0,332490.0,0.01,1048342.0,0.01,9280.6,4.07
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7653499188983769,17280083.15,0.0,635165.0,20200612.0,318274.0,0.01,909615.0,0.01,9466.6,4.07
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.9092730630114774,10083934.81,0.01,541115.0,20200613.0,280181.0,0.0,800767.0,0.01,9473.1,3.89
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8912826699973398,12849286.28,0.01,502951.0,20200614.0,275723.0,0.01,698545.0,0.01,9340.6,3.72
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7413627282128602,37501853.86,0.0,606713.0,20200615.0,294468.0,0.01,867844.0,0.01,9425.3,3.63
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7603525875055609,21523992.03,0.01,683561.0,20200616.0,340517.0,-0.02,986219.0,-0.02,9524.6,3.63
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7973328398123992,19296934.23,-0.01,669086.0,20200617.0,333547.0,0.01,918592.0,0.01,9464.5,3.8
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8353125583978007,14321567.85,-0.01,582343.0,20200618.0,283897.0,-0.01,854866.0,0.01,9387.4,3.72
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8543024176905016,17227522.69,0.0,674050.0,20200619.0,344142.0,0.0,947402.0,0.01,9309.9,3.63
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.9102725292900405,12140491.81,0.0,553650.0,20200620.0,284123.0,0.01,760742.0,0.01,9358.0,3.47
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8912826699973398,8723412.376,0.0,475037.0,20200621.0,259440.0,0.0,710176.0,0.01,9295.0,4.34
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7423621944914234,20693090.67,0.01,603576.0,20200622.0,301396.0,0.01,850006.0,0.01,9685.8,4.74
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7213734026415962,15509195.48,0.01,704215.0,20200623.0,355256.0,0.01,1034537.0,0.01,9623.7,4.74
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7633509863412505,26407474.63,0.01,625283.0,20200624.0,312321.0,0.01,917620.0,0.01,9296.7,4.74
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7853392444696409,27277671.17,0.01,631260.0,20200625.0,312183.0,0.01,901033.0,0.01,9247.0,4.34
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.7853392444696409,23256074.7,0.01,646111.0,20200626.0,330381.0,0.01,929963.0,0.01,9164.4,5.45
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8273168281692951,22098336.75,0.01,546558.0,20200627.0,275489.0,0.01,761896.0,0.01,9012.7,4.64
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8912826699973398,16167462.11,0.01,500152.0,20200628.0,264909.0,0.01,686270.0,0.01,9119.1,3.72
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8912826699973398,18164728.28,0.01,625207.0,20200629.0,315424.0,0.01,962232.0,0.0,9191.1,3.47
-0.5522226533529827,-0.0756823175662894,0.6835341107435716,-0.8912826699973398,13205668.17,0.01,621031.0,20200630.0,299733.0,0.01,926238.0,0.01,9136.6,3.47
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9262639897470517,19313717.22,0.01,758469.0,20200701.0,382570.0,0.01,1078007.0,0.01,9231.4,3.47
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9082735967329142,22009723.03,0.01,674745.0,20200702.0,339469.0,0.01,951042.0,0.01,9086.1,3.64
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9602458432182004,12000862.6,0.01,661454.0,20200703.0,331009.0,0.01,944676.0,0.01,9058.8,3.47
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9782362362323379,11365928.56,0.01,561108.0,20200704.0,288647.0,0.01,799989.0,0.01,9135.9,3.64
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9272634560256149,22045158.2,0.01,509206.0,20200705.0,274104.0,0.01,771473.0,0.01,9072.4,4.34
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.8712933444260758,34101061.35,0.01,678157.0,20200706.0,338767.0,0.01,989688.0,0.01,9342.9,4.64
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.8892837374402133,30098389.26,0.01,706177.0,20200707.0,345975.0,0.01,969354.0,0.01,9254.9,5.14
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.8333136258406744,24888589.34,0.01,702636.0,20200708.0,347455.0,0.01,1024085.0,0.01,9435.3,6.35
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.8712933444260758,24762314.24,0.01,708162.0,20200709.0,362718.0,0.01,1033334.0,0.01,9235.1,5.75
-0.7023837672854308,-0.5919374377897949,0.9379115343976644,-0.9082735967329142,18498117.24,0.01,681724.0,20200710.0,345996.0,0.01,976205.0,0.01,9286.9,4.94
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9272634560256149,12748633.72,0.01,601249.0,20200711.0,306771.0,0.01,885970.0,0.01,9232.5,5.04
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-1.0461999431746354,13174635.28,0.01,525851.0,20200712.0,282364.0,0.01,745665.0,0.01,9298.6,4.96
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-1.0182148873748658,19481242.85,0.01,638906.0,20200713.0,310227.0,0.01,909653.0,0.01,9242.6,5.36
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9912292978536595,15757909.8,0.01,734433.0,20200714.0,359847.0,0.01,993499.0,0.01,9253.3,5.56
-0.7023837672854308,-0.6165210149432951,0.9379115343976644,-0.9092730630114774,14428470.61,0.01,671171.0,20200715.0,316064.0,0.01,971186.0,0.01,9198.9,5.56
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.801330704926652,16957225.84,0.01,709099.0,20200716.0,345849.0,0.01,966383.0,0.01,9133.4,5.56
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9782362362323379,11101702.45,0.01,629600.0,20200717.0,293907.0,0.01,847984.0,0.01,9154.1,5.16
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.801330704926652,12435784.2,0.01,632584.0,20200718.0,311022.0,0.01,892684.0,0.01,9168.9,9.51
-0.23668586328347724,0.17717733315542755,-1.2454146923994436,-0.8912826699973398,13991238.88,0.01,550119.0,20200719.0,277093.0,0.01,872974.0,0.01,9206.6,4.96
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.9302618548613044,16242272.54,0.01,644972.0,20200720.0,309747.0,0.01,940265.0,0.01,9159.9,4.96
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.8523034851333751,27440003.94,0.01,660884.0,20200721.0,312871.0,0.01,927506.0,0.01,9385.4,5.26
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.8712933444260758,25105729.03,0.01,748958.0,20200722.0,364792.0,0.01,1017627.0,0.01,9516.1,5.46
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.7743451154054457,29514427.94,0.01,696765.0,20200723.0,336245.0,0.01,977856.0,0.01,9603.0,5.66
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.8133243002694105,21509887.29,0.01,740460.0,20200724.0,369432.0,0.01,1083981.0,0.01,9540.2,5.26
-0.37758593935225016,-0.3390777870680779,-1.2454146923994436,-0.8133243002694105,24221598.07,0.01,619497.0,20200725.0,293883.0,0.01,972156.0,0.01,9699.6,5.46
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.6034363817711389,42443947.98,0.01,608050.0,20200726.0,298580.0,0.01,999311.0,0.01,9931.0,5.58
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.18366054477459598,122171905.2,0.09,690892.0,20200727.0,326769.0,0.05,1022491.0,0.07,11026.5,6.03
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.09970537737528741,94002261.64,0.12,745966.0,20200728.0,354742.0,0.14,1059084.0,0.05,10909.8,6.12
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.37255967142304036,60682503.56,0.07,717842.0,20200729.0,346521.0,0.08,1039672.0,0.1,11101.0,5.76
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.477503630672176,49449031.08,0.07,689993.0,20200730.0,327789.0,0.06,968423.0,0.06,11100.3,5.22
-0.5047598343016473,-0.3425897266614351,-0.1537515790008896,-0.45651483882234895,50063703.11,0.04,733209.0,20200731.0,356906.0,0.08,1062923.0,0.07,11336.4,5.49
0.02455870481273666,0.2289459241982483,0.5755792474415935,-0.24662692032407732,68483640.24,0.03,644333.0,20200801.0,296705.0,0.03,954055.0,0.04,11799.4,7.02
-0.5793442642394602,-0.4339001560887218,1.2825209498384913,-0.6753979538276892,89202389.65,0.04,616214.0,20200802.0,287869.0,0.1,950873.0,0.05,11070.6,6.2
0.02455870481273666,0.2289459241982483,0.5755792474415935,-0.79133604214102,50278564.07,0.05,708227.0,20200803.0,333753.0,0.03,1080975.0,0.02,11220.6,5.56
-0.3145226815186522,-0.3859036483128403,-0.736339873489178,-0.8433082886263062,42836893.49,0.03,708169.0,20200804.0,329032.0,0.03,1003351.0,0.04,11188.7,5.16
0.02455870481273666,0.2289459241982483,0.5755792474415935,-0.8173221653836632,52656162.22,0.02,655315.0,20200805.0,291814.0,0.01,957619.0,0.04,11741.2,5.16
-0.6071273778304858,-0.4339001560887218,0.7708863581115808,-0.7653499188983769,43614008.51,0.04,762479.0,20200806.0,356612.0,0.04,1120216.0,0.02,11764.2,5.24
